日期,行业,市值
2019-12-02,A农林牧渔,6288.038706
2019-12-03,A农林牧渔,6261.208517
2019-12-04,A农林牧渔,6221.26725
2019-12-05,A农林牧渔,6242.398836
2019-12-06,A农林牧渔,6271.27431
2019-12-09,A农林牧渔,6206.63588
2019-12-10,A农林牧渔,6012.111079
2019-12-11,A农林牧渔,5927.512795
2019-12-12,A农林牧渔,5941.078949
2019-12-13,A农林牧渔,5988.66478
2019-12-16,A农林牧渔,6006.251429
2019-12-17,A农林牧渔,6115.481615
2019-12-18,A农林牧渔,6072.502667
2019-12-19,A农林牧渔,6064.053858
2019-12-20,A农林牧渔,6131.721546
2019-12-23,A农林牧渔,5935.497177
2019-12-24,A农林牧渔,5912.629639
2019-12-25,A农林牧渔,5891.899681
2019-12-26,A农林牧渔,5869.687906
2019-12-27,A农林牧渔,6021.80168
2019-12-30,A农林牧渔,6103.204774
2019-12-31,A农林牧渔,6246.37733
2020-01-02,A农林牧渔,6410.665846
2020-01-03,A农林牧渔,6490.320609
2020-01-06,A农林牧渔,6618.357444
2020-01-07,A农林牧渔,6900.227494
2020-01-08,A农林牧渔,6753.077835
2020-01-09,A农林牧渔,6769.664078
2020-01-10,A农林牧渔,6616.614063
2020-01-13,A农林牧渔,6663.370755
2020-01-14,A农林牧渔,6702.045421
2020-01-15,A农林牧渔,6590.576502
2020-01-16,A农林牧渔,6598.271235
2020-01-17,A农林牧渔,6527.502571
2020-01-20,A农林牧渔,6579.386266
2020-01-21,A农林牧渔,6431.361482
2020-01-22,A农林牧渔,6275.063385
2020-01-23,A农林牧渔,5981.474681
2020-02-03,A农林牧渔,5390.273361
2020-02-04,A农林牧渔,5552.87663
2020-02-05,A农林牧渔,5677.293945
2020-02-06,A农林牧渔,5978.182888
2020-02-07,A农林牧渔,5995.150542
2020-02-10,A农林牧渔,6390.828105
2020-02-11,A农林牧渔,6317.85269
2020-02-12,A农林牧渔,6338.795742
2020-02-13,A农林牧渔,6339.372187
2020-02-14,A农林牧渔,6571.962015
2020-02-17,A农林牧渔,6725.127662
2020-02-18,A农林牧渔,6727.907885
2020-02-19,A农林牧渔,6838.201431
2020-02-20,A农林牧渔,6897.321065
2020-02-21,A农林牧渔,6916.569512
2020-02-24,A农林牧渔,7013.762983
2020-02-25,A农林牧渔,7175.322982
2020-02-26,A农林牧渔,7078.965539
2020-02-27,A农林牧渔,7073.816187
2020-02-28,A农林牧渔,6747.876129
2020-03-02,A农林牧渔,7007.905077
2020-03-03,A农林牧渔,7031.697857
2020-03-04,A农林牧渔,7142.437031
2020-03-05,A农林牧渔,7530.43983
2020-03-06,A农林牧渔,7421.03633
2020-03-09,A农林牧渔,7395.813568
2020-03-10,A农林牧渔,7337.661246
2020-03-11,A农林牧渔,7289.397586
2020-03-12,A农林牧渔,6992.236529
2020-03-13,A农林牧渔,7033.216999
2020-03-16,A农林牧渔,6692.594863
2020-03-17,A农林牧渔,6659.971851
2020-03-18,A农林牧渔,6711.9283
2020-03-19,A农林牧渔,6770.587114
2020-03-20,A农林牧渔,6709.122983
2020-03-23,A农林牧渔,6518.812701
2020-03-24,A农林牧渔,6655.878835
2020-03-25,A农林牧渔,6848.359024
2020-03-26,A农林牧渔,6880.643103
2020-03-27,A农林牧渔,6714.042041
